,area_type,availability,location,size_bhk,total_sqft,bath,price
0,Super built-up  Area,At available date,1st Block Jayanagar,4,2850.0,4.0,428.0
1,Super built-up  Area,At available date,1st Block Jayanagar,3,1630.0,3.0,194.0
2,Super built-up  Area,Ready To Move,1st Block Jayanagar,3,1875.0,2.0,235.0
3,Built-up  Area,At available date,1st Block Jayanagar,3,1200.0,2.0,130.0
4,Super built-up  Area,At available date,1st Block Jayanagar,2,1235.0,2.0,148.0
5,Super built-up  Area,At available date,1st Block Jayanagar,4,2750.0,4.0,413.0
6,Super built-up  Area,At available date,1st Block Jayanagar,4,2450.0,4.0,368.0
7,Built-up  Area,Ready To Move,1st Block Koramangala,2,1415.0,2.0,110.0
8,Built-up  Area,Ready To Move,1st Block Koramangala,2,860.0,2.0,65.5
9,Super built-up  Area,At available date,1st Block Koramangala,4,3000.0,3.0,300.0
10,Built-up  Area,At available date,1st Block Koramangala,3,2350.0,3.0,210.0
11,Super built-up  Area,Ready To Move,1st Block Koramangala,2,1000.0,2.0,45.0
12,Super built-up  Area,Ready To Move,1st Block Koramangala,4,3000.0,5.0,500.0
14,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,1875.0,3.0,167.0
15,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,2065.0,4.0,210.0
17,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,2059.0,3.0,225.0
18,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2,1394.0,2.0,100.0
19,Super built-up  Area,At available date,1st Phase JP Nagar,2,1077.0,2.0,93.0
20,Plot  Area,Ready To Move,1st Phase JP Nagar,2,1566.0,2.0,180.0
21,Built-up  Area,Ready To Move,1st Phase JP Nagar,1,840.0,2.0,50.0
22,Super built-up  Area,At available date,1st Phase JP Nagar,3,1590.0,3.0,131.0
23,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,2180.0,3.0,210.0
24,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2,1180.0,2.0,88.5
25,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2,1200.0,2.0,86.0
26,Built-up  Area,Ready To Move,1st Phase JP Nagar,2,1394.0,2.0,85.0
27,Super built-up  Area,At available date,1st Phase JP Nagar,3,2077.0,3.0,175.0
28,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2,1205.0,2.0,85.0
30,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2,900.0,2.0,75.0
31,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3,1450.0,2.0,50.75
32,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
33,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
34,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
35,Super built-up  Area,At available date,2nd Phase Judicial Layout,2,900.0,2.0,41.0
36,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3,1681.0,3.0,69.0
37,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
38,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
39,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,1500.0,4.0,220.0
40,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6,3000.0,8.0,451.0
41,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,1350.0,4.0,200.0
42,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,1500.0,3.0,230.0
43,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,1206.0,2.0,56.0
44,Super built-up  Area,Ready To Move,5th Block Hbr Layout,3,1270.0,2.0,70.0
45,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,1312.0,2.0,69.0
46,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,1100.0,2.0,48.0
47,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1075.0,2.0,60.0
48,Built-up  Area,Ready To Move,5th Phase JP Nagar,2,1150.0,3.0,52.5
49,Built-up  Area,Ready To Move,5th Phase JP Nagar,2,1256.0,2.0,62.8
50,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1207.0,2.0,63.0
51,Built-up  Area,Ready To Move,5th Phase JP Nagar,3,1725.0,2.0,100.0
52,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1440.0,2.0,60.0
53,Built-up  Area,Ready To Move,5th Phase JP Nagar,3,1700.0,2.0,100.0
55,Super built-up  Area,Ready To Move,5th Phase JP Nagar,5,2500.0,5.0,110.0
56,Built-up  Area,Ready To Move,5th Phase JP Nagar,1,600.0,1.0,30.0
57,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1390.0,2.0,65.0
58,Built-up  Area,Ready To Move,5th Phase JP Nagar,2,1256.0,2.0,62.8
59,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1000.0,2.0,48.0
60,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3,1350.0,2.0,75.0
61,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1,552.0,1.0,23.5
62,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1200.0,2.0,51.0
66,Built-up  Area,Ready To Move,5th Phase JP Nagar,2,1030.0,2.0,57.0
67,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1200.0,2.0,68.0
68,Built-up  Area,Ready To Move,5th Phase JP Nagar,2,1190.0,2.0,61.8
69,Super built-up  Area,Ready To Move,5th Phase JP Nagar,5,4000.0,5.0,170.0
70,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1080.0,2.0,53.0
71,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1041.0,2.0,54.0
72,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,812.0,2.0,42.0
73,Built-up  Area,Ready To Move,5th Phase JP Nagar,2,1010.0,2.0,57.0
75,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1075.0,2.0,60.0
76,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1192.0,2.0,74.0
77,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1180.0,2.0,80.0
78,Super built-up  Area,Ready To Move,6th Phase JP Nagar,4,3245.0,4.0,250.0
79,Built-up  Area,Ready To Move,6th Phase JP Nagar,3,1645.0,3.0,100.0
